TBESH - Translators Brief lexicon of Extended Strongs for Hebrew - STEPBible.org CC BY
See also
TFBDB - Translators Formatted full BDB lexicon - STEPBible.org CC BY (not yet available)
========================================================
Extended Strongs for Hebrew is backward compatible with original Strong and extended to include all entries in BDB (compatible with OpenScriptures) and all prefixes, suffixes, personal pronoun endings and punctuation (as tagged in Tyndale House texts) 
The Brief lexicon is based on Abridged BDB by Online Bible, and edited to conform with the extended Strongs. This is provided  for guidence only. Permission should be gained from Online Bible before these definitions are applied in any project. 
The Full lexicon is edited from the Full BDB by Tyndale House, formatted to make it easy to read, with expansion of abbreviations and revealing bibliographic details on hover. 

	==============================================================												
	Data created by www.STEPBible.org based on work at Tyndale House Cambridge (CC BY 4.0)												
	==============================================================												
	This licence allows you to:												
	* Include any part of this data in software or publications without requesting permission 												
	* Download the data and reformat it for your application, without changing the data												
	* Send any proposed corrections to STEPBibleATGmail.com. to be verified 												
	  (You MAY make changes yourself, but you should include a note of changes that can be viewed by those who use your new data)												
	* Refer others to github.com/STEPBible as the source of the data. Please do not redistribute it yourself. 												
	  (Updates or corrections are easier to implement when the data is distributed from a single source)												
	* We'd love to hear about your project when you make it available. Email us at STEPBibleATGmail.com..												
	==============================================================												

FIELD DESCRIPTIONS:
==============

eStrong#	These Extended Strong Numbers are mapped to BDB (and thereby to other modern lexicons) by OpenScriptures.org. This adds about 800 words which are found in modern lexicons but were not differentiated by Strong. 
	Numbers beyond 9000 include non-lexical prefixes and suffixed. They were created by Tyndale House, Cambridge. 
dStrong#	These Disambiguated Strong numbers differentiates distinct sub-meaning of words, and distinct indivuduals with the same name - see TinyURL.com/DisambiguatedStrongs. They are designed to be backward compatible with software that uses Strongs numbers. 
uStrong#	These Unified Strong numbers link together dStrong numbers that can be regarded as a single word, such as Aramaic & Hebrew versions or different spellings of the same word, and alternate names of the same individual or place. 

Gloss	These were created by Tyndale scholars

Hebrew form	These are based on BDB, then normalised. 

Transliteration	

Morph	These were created by Tyndale scholars as a simple grammatical value of the main word represented as Language:Type-Gender-Extra. 
	Language:Type-Gender-Extra.   Language is A=Aramaic, H=Hebrew, G=Greek and n+Name (which is not language specific). 
	Type is A=Adjective, Adv=Adverb, Art=Article, Cond=Conditional, Conj=Conjunction, Cor=Correlative, DemP=Demonstrative Pn, ImpP=Impersonal Pn, Intg=Interogative, Intj=Interjection, N=Noun, Neg=Negative, Part=Particle, Prep=Preposition, PerP=Personal Pn, PosP=Possessive Pn, RefP=Reflexive Pn, RelP=Relative Pn, V=Verb. 
	Gender is F=Female, M=Male, N=Neuter, C=Common and P or S is optionally added for Plural Singular
	Extra for Names is L=Location, P=Person, LG/PG=Gentilic, T=Title (i.e. any other capitalised nouns such as titles, months, gods, planets etc)
(notes re Morph) 	Location is only used for places not named after people - eg: Israel = N:N-M-P (for the Person, and nation); Jerusalem = N:N--L; Canaanite is N:N-M-LG; Israelitess is N:N-F-PG
	Location is a geographical entity such as river, mountain or city eg "Dan", but Gentilic is used for Amon, Syria, Judah, or the tribal area of Dan. The idea is that someone from Dan is probably related to Dan unless he is called a Hittite, but someone from Jerusalem or the city of Dan could be from anywhere even though he is named after the city. So a "Shulemite" (who is prob from Salem ie Shalem aka Jerusalem) is dark-skinned and perhaps not a native from the area.
	Title is a misc category that incl names of gods, musical term & months and offices such as Pharaoh unless referring to an individual eg Pharaoh Necho who is N:N-M-P
	When F or M occ with L or T it refers to the gender of that person, not the location, so Jerusalem = N:N--L, Jerusalemites = N:N-G-L, Jerusalemitess = N:N-F-L 
	When Gentilics related to a person the STEP_LexicalTag points to the Person eg Danites => Dan.  When Gentilics point to a place, the STEP_LexicalTag points to that place, eg Gileadites => Gilead. When there is no numbered tag for the person or place, we probably aren't sure what it is, so the STEP_LexicalTag doesn't have anywhere different to point, eg. Girgashites. Some very common Gentilics (eg Levite) have gained a meaning of their own which may be related to a person but much less so - so the STEP_LexicalTag does not redirect to the entry for that person. 
	Odd ones: Jew=N:N-G-P, Jewish=N:A, Jewess+Ammonitess=N:N-G-P-F, Canaanite-trader=N:N-G-P / N:N-G-T, Chaldean-magi=N:N-G-L / N:N-G-T, Nephusim=N:N-G-T, Rephaim=N:N-G-P / N:N-G-T, Shulamite+Shunammite+Carmelitess+Jezreelitess=N:N-F-L

Meaning	These are based on the Abridged BDB by Online Bible, and edited to conform with the extended Strongs. They are for guidence only. Permission should be gained from Online Bible before these are applied in any project. 
	These defs refer to J. Green's A Concise Lexicon of the Biblical Languages (CLBL) and Harris, Archer, & Waltke's Theological Wordbook of the Old Testament (TWOT),)
	These definitions were edited to align with the eStrongs by Tyndale House Cambridge. Alignment with dStrongs is not yet completed. 


eStrong#	dStrong	uStrong	Hebrew	Transliteration	Morph	Gloss	Meaning

H0001	H0001G =	H0001G	אָב	av	H:N-M	father	1) father of an individual<br>2) of God as father of his people<br>3) head or founder of a household, group, family, or clan<br>4) ancestor<br>4a) grandfather, forefathers - of person<br>4b) of people<br>5) originator or patron of a class, profession, or art<br>6) of producer, generator (fig.)<br>7) of benevolence and protection (fig.)<br>8) term of respect and honour<br>9) ruler or chief (spec.)<BR>Also means: <i>av</i> (אַב "father" H0002)
H0001	H0001H = a Part of	H2438H, 	אָב	av	H:N-M	(Huram)-abi	A man living at the time of United Monarchy, first mentioned at 1Ki.7.13; also called Huram-abi (KJV: "Huram my father's") at 2Ch.2.13; 4.16; <BR>Combined with <i>chi.ram</i> (חִירָם "Hiram" H2438H)
H0001	H0001I = a Part of	H0022G	אָב	av	N:N-M	father of	The father of Gibeon, also known as Abiel - a man of the tribe of Benjamin living at the time of United Monarchy, first mentioned at 1Sa.9.1; <br> son of: Zeror (H6872C); married to Maacah (H4601N); <br> father of: Kish (H7027G), Ner (H5369G), Abdon (H5658J), Zur (H6698I), Baal (H1168B), Nadab (H5070J), Gedor (H1446I), Ahio (H0283I), Zecher (H2144) and Mikloth (H4732G); also called Jeiel (Ketiv: Jeuel; KJV: Jehiel) at 1Ch.9.35;  Ner at 1Ch.8.33; 9.39;
H0002	H0002 = in Aramaic of	H0001G	אַב	av	A:N-M	father	father<BR>Aramaic of <i>av</i> (אָב "father" H0001)
H0003	H0003 =	H0003	אֵב	ev	H:N-M	greenery	freshness, fresh green, green shoots, or greenery<BR>Aramaic equivalent: <i>ev</i> (אֵב "fruit" H0004)
H0004	H0004 = in Aramaic of	H0003	אֵב	ev	A:N-M	fruit	fruit, fresh, young, greening<BR>Aramaic of <i>ev</i> (אֵב "greenery" H0003)
H0005	H0005 =	H0005	אֲבַגְתָא	a.vag.ta	N:N-M-P	Abagtha	A man living at the time of Exile and Return, only mentioned at Est.1.10 <BR> § Abagtha = "God-given"<br> one of the seven eunuchs in the Persian court of Ahasuerus<br>
H0006	H0006 =	H0006	אָבַד	a.vad	H:V	to perish	1) perish, vanish, go astray, be destroyed<br>1a) (Qal)<br>1a1) perish, die, be exterminated<br>1a2) perish, vanish (fig.)<br>1a3) be lost, strayed<br>1b) (Piel)<br>1b1) to destroy, kill, cause to perish, to give up (as lost), exterminate<br>1b2) to blot out, do away with, cause to vanish, (fig.)<br>1b3) cause to stray, lose<br>1c) (Hiphil)<br>1c1) to destroy, put to death<br>1c1a) of divine judgment<br>1c2) object name of kings (fig.)<BR>Aramaic equivalent: <i>a.vad</i> (אֲבַד "to destroy" H0007)
H0007	H0007 = in Aramaic of	H0006	אֲבַד	a.vad	A:V	to destroy	1) to perish, vanish<br>1a) (P'al) shall perish<br>1b) (Aphel) destroy<br>1c) (Hophal) be destroyed
H0008	H0008 =	H0008	אֹבֵד	o.ved	H:N-M	destruction	destruction
H0009	H0009 =	H0009	אֲבֵדָה	a.ve.dah	H:N-F	something lost	a lost thing, something lost
H0010	H0010 =	H0010	אֲבַדּוֹן	a.vad.don	H:N-F	destruction	a perishing
H0011	H0011 =	H0011	אֲבַדּוֹן	a.vad.don	N:N--L	Abaddon	Abaddon, a place of destruction, destruction, ruin<br>
H0012	H0012 =	H0012	אַבְדָ֑ן	av.dan	H:N-M	destruction	destruction
H0013	H0013 =	H0013	אׇבְדַן	ov.dan	H:N-M	destruction	destruction
H0014	H0014 =	H0014	אָבָה	a.vah	H:V	be willing	1) to be willing, consent<br>1a) (Qal)<br>1a1) to be willing<br>1a2) to consent, yield to, accept<br>1a3) to desire
H0015	H0015 =	H0015	אָבִי 	a.veh	H:N-F	oh that!	entreat, longing, desire
H0016	H0016 =	H0016	אֵ֫בֶה	e.veh	H:N-M	papyrus	reed, papyrus
H0017	H0017 =	H0017	אֲבוֹי	a.voy	H:Intj	pain!	Oh!, Woe!, (exclamation of pain - indicates desire or uneasiness)
H0018	H0018 =	H0018	אֵבוּס	e.vus	H:N-M	crib	crib, manger, feeding trough
H0019	H0019 =	H0019	אִבְחָה	iv.chah	H:N-F	slaughter	slaughter, flesh, meat, slaughtered meat
H0020	H0020 =	H0020	אֲבַטִּחִים	a.vat.ti.ach	H:N-M	melon	watermelon, Egyptian fruit
H0021	H0021 =	H0021	אֲבִי	a.vi	N:N-F-P	Abi	A woman living at the time of Divided Monarchy, first mentioned at 2Ki.18.2; <br> daughter of: Zechariah (H2148C); married to Ahaz (H0271); <br> mother of: Hezekiah (H2396); also called Abijah at 2Ch.29.1; <BR>Also named: <i>a.viy.yah</i> (אֲבִיָּה "Abijah" H0029N) <BR> § Abi = "my father"<br> mother of Hezekiah (cf H029)<br>
